iter	Passed	Remaining
689	4958	2227
690	4964	2219
691	4971	2212
692	4977	2205
693	4984	2197
694	4991	2190
695	4998	2183
696	5005	2176
697	5012	2168
698	5020	2161
699	5028	2154
700	5035	2147
701	5042	2140
702	5049	2133
703	5056	2125
704	5062	2118
705	5069	2111
706	5077	2104
707	5084	2096
708	5091	2089
709	5098	2082
710	5104	2075
711	5111	2067
712	5117	2059
713	5124	2052
714	5131	2045
715	5139	2038
716	5146	2031
717	5153	2024
718	5160	2016
719	5167	2009
720	5174	2002
721	5182	1995
722	5189	1988
723	5197	1981
724	5204	1974
725	5212	1967
726	5219	1960
727	5226	1952
728	5233	1945
729	5241	1938
730	5248	1931
731	5255	1924
732	5262	1916
733	5269	1909
734	5276	1902
735	5283	1895
736	5291	1888
737	5298	1881
738	5305	1873
739	5314	1867
740	5323	1860
741	5329	1853
742	5337	1846
743	5345	1839
744	5351	1831
745	5359	1824
746	5366	1817
747	5373	1810
748	5380	1803
749	5387	1795
750	5394	1788
751	5401	1781
752	5408	1774
753	5415	1766
754	5422	1759
755	5429	1752
756	5435	1744
757	5443	1737
758	5449	1730
759	5457	1723
760	5463	1715
761	5470	1708
762	5477	1701
763	5484	1694
764	5491	1686
765	5498	1679
766	5505	1672
767	5512	1665
768	5519	1657
769	5525	1650
770	5532	1643
771	5539	1636
772	5546	1628
773	5553	1621
774	5560	1614
775	5567	1607
776	5573	1599
777	5581	1592
778	5587	1585
779	5594	1578
780	5601	1570
781	5607	1563
782	5614	1555
783	5620	1548
784	5627	1541
785	5634	1533
786	5640	1526
787	5648	1519
788	5655	1512
789	5662	1505
790	5668	1497
791	5675	1490
792	5682	1483
793	5689	1476
794	5696	1468
795	5703	1461
796	5710	1454
797	5717	1447
798	5723	1439
799	5729	1432
800	5736	1425
801	5743	1418
802	5750	1410
803	5757	1403
804	5764	1396
805	5772	1389
806	5779	1382
807	5786	1374
808	5793	1367
809	5799	1360
810	5809	1353
811	5819	1347
812	5826	1340
813	5833	1332
814	5840	1325
815	5847	1318
816	5854	1311
817	5861	1304
818	5867	1296
819	5874	1289
820	5881	1282
821	5888	1275
822	5896	1268
823	5902	1260
824	5909	1253
825	5916	1246
826	5924	1239
827	5931	1232
828	5939	1225
829	5945	1217
830	5952	1210
831	5959	1203
832	5966	1196
833	5973	1189
834	5980	1181
835	5987	1174
836	5994	1167
837	6002	1160
838	6008	1153
839	6015	1145
840	6022	1138
841	6029	1131
842	6036	1124
843	6043	1117
844	6049	1109
845	6057	1102
846	6065	1095
847	6073	1088
848	6081	1081
849	6091	1074
850	6099	1067
851	6107	1060
852	6116	1054
853	6124	1047
854	6133	1040
855	6143	1033
856	6152	1026
857	6161	1019
858	6170	1012
859	6177	1005
860	6184	998
861	6190	991
862	6197	983
863	6204	976
864	6211	969
865	6217	962
866	6225	954
867	6232	947
868	6241	940
869	6248	933
870	6255	926
871	6263	919
872	6271	912
873	6278	905
874	6286	898
875	6292	890
876	6300	883
877	6308	876
878	6316	869
879	6324	862
880	6332	855
881	6341	848
882	6348	841
883	6356	834
884	6363	826
885	6371	819
886	6378	812
887	6386	805
888	6394	798
889	6403	791
890	6411	784
891	6418	777
892	6427	770
893	6434	762
894	6442	755
895	6450	748
896	6457	741
897	6466	734
898	6473	727
899	6481	720
900	6489	713
901	6497	705
902	6504	698
903	6512	691
904	6519	684
905	6527	677
906	6535	670
907	6542	662
908	6550	655
909	6557	648
910	6565	641
911	6573	634
912	6581	627
913	6588	619
914	6595	612
915	6602	605
916	6609	598
917	6616	590
918	6622	583
919	6626	576
920	6633	569
921	6640	561
922	6648	554
923	6655	547
924	6662	540
925	6668	532
926	6676	525
927	6683	518
928	6689	511
929	6696	504
930	6703	496
931	6710	489
932	6713	482
933	6721	474
934	6728	467
935	6734	460
936	6741	453
937	6746	445
938	6753	438
939	6760	431
940	6767	424
941	6774	417
942	6781	409
943	6789	402
944	6796	395
945	6803	388
946	6810	381
947	6817	373
948	6825	366
949	6832	359
950	6840	352
951	6848	345
952	6855	338
953	6863	330
954	6870	323
955	6877	316
956	6884	309
957	6892	302
958	6900	295
959	6908	287
960	6915	280
961	6921	273
962	6928	266
963	6936	259
964	6943	251
965	6950	244
966	6958	237
967	6965	230
968	6971	223
969	6978	215
970	6986	208
971	6993	201
972	7000	194
973	7007	187
974	7014	179
975	7021	172
976	7029	165
977	7036	158
978	7043	151
979	7051	143
